TSX,Akita Drilling Ltd., AKT ," 248,254,643 "," 17,945,661 ",Diversified Industries,,19930108,AB,Canada,,,,,,,,Industrial Products and Services,,,Energy Services,,,,C,,,,,,," 1,470,008 "," 23,068,442 "," 3,414 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,Alacer Gold Corp., ASR ," 543,052,318 "," 290,402,309 ",Mining,TSXV Grad,20030718,USA,USA,TSX-ASX,,1,,1,,,,,,,Lakewood,CO,,C,,,,,,," 115,081,766 "," 289,515,939 "," 341,354 ",10,,Australia,,,,,Turkey,,,1,,,,,,,,,,,,,,,,,,
TSX,Alamos Gold Inc., AGI ," 1,071,076,457 "," 127,357,486 ",Mining,TSXV Grad,20040621,ON,Canada,TSX-NYSE,,1,1,1,,,,,,,,,,C,,,,,,," 101,930,199 "," 1,034,749,859 "," 440,525 ",10,,,,,Mexico,,Turkey,,,1,,,,,,,,,,,,,,,,1,,
TSX,Alaris Royalty Corp., AD ," 1,080,719,630 "," 32,002,358 ",Financial Services,Other,20081118,AB,Canada,,,,,1,,,,,,,,,,C,,,,,,," 25,823,850 "," 758,130,718 "," 119,131 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,AlarmForce Industries Inc., AF ," 140,451,096 "," 11,704,258 ",Diversified Industries,,19970904,ON,Canada,,,,,,,,Consumer Products and Services,,,,,,,C,,,,,,," 1,691,860 "," 18,595,130 "," 2,425 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,Alderon Iron Ore Corp., ADV ," 66,373,525 "," 130,144,167 ",Mining,TSXV Grad,20111012,BC,Canada,TSX-NYSE MKT,,1,,,,,,,,,,,,C,,,,,,," 31,836,035 "," 47,559,060 "," 40,131 ",10,,,Canada,,,,,,,,,,,,,,1,,,,,,,,,,,
TSX,Alexco Resource Corp., AXR ," 38,969,783 "," 69,588,898 ",Mining,IPO,20060125,BC,Canada,TSX-NYSE MKT,,,,,,,,,,,,,,C,,,,,,," 13,349,548 "," 18,616,397 "," 30,528 ",10,,,YT,,,,,,,,1,,,,,,,,,,,,,,,,,
TSX,Algoma Central Corporation, ALC ," 701,897,987 "," 39,602,110 ",Diversified Industries,,19580527,ON,Canada,,,,,,,,Industrial Products and Services,,,,,,,C,,,,,,," 1,183,891 "," 26,053,099 "," 4,242 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,Algonquin Power & Utilities Corp, AQN ," 2,308,627,607 "," 236,206,479 ",Clean Technology,,19971223,ON,Canada,,,,,1,Renewable Energy Production and Distribution,,,,,,,,,C,,,,,,2009," 76,387,047 "," 667,860,081 "," 242,244 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,Alimentation Couche-Tard Inc., ATD ," 21,792,912,811 "," 565,877,411 ",Diversified Industries,Other,19991206,Quebec,Canada,,,,,1,,,Consumer Products and Services,,,,,,,C,,,,,,," 114,663,180 "," 4,813,196,508 "," 565,391 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
